NO,Origin,TUJUAN,CARRY ( 1.5 Ton ),CDD/COLT DIESEL ( 4 Ton ),FUSSO ( 8 Ton ),WINGBOXN ( 18 Ton )
,,,Uk. 2mx1.3mx 1.3m,Uk. 4.3mx2mx2m ,Uk. 5.7mx2.3mx2.5m ,Uk.9.0mx2.5mx2.5m
1,Cikarang,MM2100," Rp705,000 "," Rp1,762,500 "," Rp2,115,000 "," Rp2,585,000 "
2,,EJIP," Rp646,250 "," Rp1,645,000 "," Rp1,997,500 "," Rp2,350,000 "
3,,GIIC," Rp646,250 "," Rp1,645,000 "," Rp1,997,500 "," Rp2,350,000 "
4,,DELTAMAS," Rp646,250 "," Rp1,645,000 "," Rp1,997,500 "," Rp2,350,000 "
5,,LIPPO CIKARANG," Rp646,250 "," Rp1,645,000 "," Rp1,997,500 "," Rp2,350,000 "
6,,CIBITUNG," Rp705,000 "," Rp1,645,000 "," Rp2,115,000 "," Rp2,585,000 "
7,,KIIC ( KARAWANG BARAT )," Rp998,750 "," Rp1,762,500 "," Rp2,467,500 "," Rp2,820,000 "
8,,SURYA CIPTA ( KARAWANG TIMUR )," Rp1,175,000 "," Rp1,880,000 "," Rp2,585,000 "," Rp3,055,000 "
9,,CIKAMPEK," Rp1,292,500 "," Rp1,997,500 "," Rp2,702,500 "," Rp3,172,500 "
10,,PURWAKARTA," Rp1,351,250 "," Rp2,232,500 "," Rp2,820,000 "," Rp3,290,000 "
11,,"BEKASI TIMUR,TAMBUN"," Rp998,750 "," Rp2,350,000 "," Rp2,350,000 "," Rp3,055,000 "
12,,"BOGOR,CILEUNGSI,CIBINONG"," Rp1,410,000 "," Rp2,350,000 "," Rp2,937,500 "," Rp3,172,500 "
13,,"CAKUNG,BEKASI BARAT,PONDOK UNGU"," Rp1,175,000 "," Rp1,997,500 "," Rp2,702,500 "," Rp2,820,000 "
14,,"TANGERANG ( JATAKE,JATIUWUNG,CIKUPA,JAK-BAR"," Rp1,410,000 "," Rp2,350,000 "," Rp2,937,500 "," Rp3,172,500 "
15,,SERANG," Rp1,762,500 "," Rp2,585,000 "," Rp3,172,500 "," Rp3,760,000 "
16,,BANDUNG," Rp2,115,000 "," Rp3,055,000 "," Rp3,877,500 "," Rp4,582,500 "